City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Kruisfontein,ZA,-34.0033,24.7314,65.88,75,75,15.59,broken clouds
182,Ostrovnoy,RU,68.0531,39.5131,12.79,81,100,0.89,overcast clouds
183,Douentza,ML,14.9951,-2.9517,75.92,11,0,7.52,clear sky
184,Hanzhong,CN,33.0728,107.0303,37.63,71,95,2.26,overcast clouds
185,Buinsk,RU,54.95,48.2833,30.09,97,100,7.4,snow
186,Lowestoft,GB,52.4752,1.7516,47.95,88,100,13.69,overcast clouds
187,Muros,ES,42.7762,-9.0603,55.69,89,100,5.64,overcast clouds
188,Livingstone,ZM,-17.8419,25.8543,71.17,86,22,4.38,few clouds
189,Bandarbeyla,SO,9.4942,50.8122,75.94,64,0,18.32,clear sky
190,San Jeronimo,PE,-11.9472,-75.2829,61.38,57,85,6.04,overcast clouds
191,Coquimbo,CL,-29.9533,-71.3436,68.76,69,14,8.46,few clouds
192,Srednekolymsk,RU,67.45,153.6833,-34.58,100,62,2.48,broken clouds
193,Hithadhoo,MV,-0.6,73.0833,81.57,71,55,6.78,broken clouds
194,Santo Antonio Do Ica,BR,-3.1022,-67.9397,80.06,89,96,4.29,overcast clouds
195,Doha,QA,25.2867,51.5333,64.38,77,0,3.44,clear sky
196,Nouadhibou,MR,20.931,-17.0347,85.98,17,0,8.05,dust
197,Moose Factory,CA,51.2585,-80.6094,-7.6,49,0,12.66,clear sky
198,Nome,US,64.5011,-165.4064,5.07,57,0,33.38,clear sky
199,Yadgir,IN,16.7667,77.1333,75.7,35,4,9.91,clear sky
200,Guangshui,CN,31.6199,113.9978,33.51,83,7,3.69,clear sky
201,Charlestown,AU,-32.95,151.6667,62.82,95,79,3.0,light rain
202,Dolores,AR,-36.3132,-57.6792,77.63,66,86,2.82,overcast clouds
203,Kaitangata,NZ,-46.2817,169.8464,48.94,94,100,2.35,light rain
204,Gualaceo,EC,-2.9,-78.7833,74.86,64,74,6.33,light rain
205,Biu,NG,10.6129,12.1946,71.62,15,1,9.35,clear sky
206,Athabasca,CA,54.7169,-113.2854,-9.71,84,100,4.27,overcast clouds
207,Bubaque,GW,11.2833,-15.8333,77.9,75,0,14.2,clear sky
208,Abapo,BO,-18.8333,-63.4667,90.54,36,80,11.63,broken clouds
209,Rudnogorsk,RU,57.2639,103.7519,3.49,99,100,3.58,overcast clouds
210,Maarianhamina,AX,60.0973,19.9348,19.26,93,20,2.3,few clouds
211,Benghazi,LY,32.1167,20.0667,56.21,54,99,30.87,overcast clouds
212,Kushiro,JP,42.975,144.3747,13.93,87,27,6.38,scattered clouds
213,Catamarca,AR,-28.4696,-65.7852,91.78,41,12,5.99,few clouds
214,Jalu,LY,29.0331,21.5482,54.01,62,14,17.09,few clouds
215,Oga,IT,46.4631,10.347,36.68,93,100,4.0,overcast clouds
216,Bairiki,KI,1.3292,172.9752,80.6,94,75,5.75,light rain
217,Mitu,CO,1.1983,-70.1733,75.38,94,100,0.58,overcast clouds
218,Amapa,BR,1.0,-52.0,78.73,94,100,4.34,overcast clouds
219,Riyadh,SA,24.6877,46.7219,66.34,33,0,12.55,clear sky
