City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Chuy,UY,2022-02-01 06:17:30,-33.6971,-53.4616,58.42,69,0,4.76
121,Narsaq,GL,2022-02-01 06:22:30,60.9167,-46.05,23.22,98,92,3.22
122,Dunmore,US,2022-02-01 06:22:31,41.4198,-75.6324,17.78,77,0,1.01
123,Beisfjord,NO,2022-02-01 06:22:31,68.3751,17.5988,21.25,56,100,10.27
124,Katsuura,JP,2022-02-01 06:19:18,35.1333,140.3,48.24,49,79,11.48
125,Labuhan,ID,2022-02-01 06:22:32,-6.8844,112.2051,84.78,71,80,9.66
126,Sorgun,TR,2022-02-01 06:22:32,39.8101,35.186,27.41,96,100,3.78
127,Asfi,MA,2022-02-01 06:22:32,32.2994,-9.2372,59.45,51,48,14.54
128,Manggar,ID,2022-02-01 06:22:33,-2.8833,108.2667,85.3,65,100,12.57
129,Rawson,AR,2022-02-01 06:20:52,-43.3002,-65.1023,70.21,36,1,23.76
130,Mandera,KE,2022-02-01 06:22:34,3.9366,41.867,80.44,59,85,9.06
131,Sawakin,SD,2022-02-01 06:22:34,19.1059,37.3321,69.24,51,51,12.5
132,Oktyabrskoye,RU,2022-02-01 06:22:34,43.0645,44.7417,28.54,92,40,2.24
133,Butaritari,KI,2022-02-01 06:18:37,3.0707,172.7902,82.33,77,99,12.86
134,Carnarvon,AU,2022-02-01 06:22:35,-24.8667,113.6333,89.67,55,28,20.71
135,Talnakh,RU,2022-02-01 06:22:35,69.4865,88.3972,2.21,96,100,9.15
136,Ciudad Bolivar,VE,2022-02-01 06:22:36,8.1222,-63.5497,75.81,76,67,10.11
137,Cabedelo,BR,2022-02-01 06:22:18,-6.9811,-34.8339,77.67,75,25,7.72
138,Vostok,RU,2022-02-01 06:22:36,46.4856,135.8833,7.52,87,100,6.73
139,Masinigudi,IN,2022-02-01 06:22:37,11.5667,76.6667,82.49,40,24,4.9
140,Batticaloa,LK,2022-02-01 06:22:37,7.7102,81.6924,81.23,64,12,9.08
141,Tautira,PF,2022-02-01 06:22:38,-17.7333,-149.15,80.62,77,33,21.27
142,Henties Bay,NA,2022-02-01 06:22:38,-22.116,14.2845,68.86,77,100,6.46
143,Bengkulu,ID,2022-02-01 06:23:39,-3.8004,102.2655,85.01,68,76,9.73
144,Luanda,AO,2022-02-01 06:22:24,-8.8368,13.2343,77.0,83,40,2.3
145,Sao Filipe,CV,2022-02-01 06:23:39,14.8961,-24.4956,75.25,66,100,9.98
146,San Policarpo,PH,2022-02-01 06:23:40,12.1791,125.5072,80.19,83,31,10.22
147,Ilam,NP,2022-02-01 06:23:40,26.9167,87.9167,53.24,66,81,4.97
148,Toamasina,MG,2022-02-01 06:23:41,-18.1667,49.3833,84.2,74,75,16.11
149,Mar Del Plata,AR,2022-02-01 06:23:41,-38.0023,-57.5575,57.09,73,0,5.01
150,Kupang,ID,2022-02-01 06:23:41,-10.1667,123.5833,90.18,70,40,11.5
151,Qaanaaq,GL,2022-02-01 06:23:42,77.484,-69.3632,-20.96,61,9,9.4
152,Groa,NO,2022-02-01 06:23:42,62.65,8.7167,28.49,81,100,10.8
153,Kahului,US,2022-02-01 06:20:06,20.8947,-156.47,73.42,71,0,11.5
154,Kruisfontein,ZA,2022-02-01 06:23:43,-34.0033,24.7314,74.88,63,100,4.12
155,Mitu,CO,2022-02-01 06:23:43,1.1983,-70.1733,68.79,75,99,1.34
156,Tessalit,ML,2022-02-01 06:23:44,20.1986,1.0114,59.61,11,19,8.97
157,Puerto Del Rosario,ES,2022-02-01 06:23:44,28.5004,-13.8627,65.88,59,0,9.22
158,Ocean City,US,2022-02-01 06:23:45,39.2776,-74.5746,26.98,75,70,4.0
159,Balabac,PH,2022-02-01 06:23:45,7.9868,117.0645,82.99,72,59,14.16
160,Thompson,CA,2022-02-01 06:23:45,55.7435,-97.8558,-0.24,78,100,12.66
161,Moerai,PF,2022-02-01 06:23:46,-22.4333,-151.3333,80.26,75,86,16.51
162,Guerrero Negro,MX,2022-02-01 06:23:46,27.9769,-114.0611,59.81,77,15,12.68
163,Port Alfred,ZA,2022-02-01 06:23:47,-33.5906,26.891,79.88,77,100,2.15
164,Iralaya,HN,2022-02-01 06:23:47,15.0,-83.2333,73.42,81,19,7.07
165,Pacific Grove,US,2022-02-01 06:23:48,36.6177,-121.9166,51.42,88,0,1.01
166,Uhlove,UA,2022-02-01 06:23:48,44.8215,33.6045,42.57,73,99,11.36
167,Ribeira Grande,PT,2022-02-01 06:23:49,38.5167,-28.7,59.68,78,14,18.03
168,Haverfordwest,GB,2022-02-01 06:23:49,51.8017,-4.9691,49.05,88,86,5.01
169,Sicuani,PE,2022-02-01 06:23:50,-14.2694,-71.2261,41.85,96,100,4.45
170,Bathsheba,BB,2022-02-01 06:23:50,13.2167,-59.5167,77.61,83,40,13.8
171,Lata,PT,2022-02-01 06:23:51,40.1629,-8.3327,50.05,64,0,7.09
172,Nokaneng,BW,2022-02-01 06:23:51,-19.6667,22.2667,70.84,79,89,10.27
173,Severo-Yeniseyskiy,RU,2022-02-01 06:23:51,60.3725,93.0408,11.93,84,70,2.98
174,Cataguases,BR,2022-02-01 06:23:52,-21.3892,-42.6967,74.66,95,96,2.84
175,Soc Trang,VN,2022-02-01 06:19:06,9.6033,105.98,87.76,47,15,17.78
176,Vermilion,US,2022-02-01 06:23:53,40.1667,-87.7506,37.02,59,0,10.0
177,Tortoli,IT,2022-02-01 06:23:53,39.9256,9.6572,48.02,34,0,8.05
178,Lorengau,PG,2022-02-01 06:23:54,-2.0226,147.2712,79.0,86,100,16.46
179,Kloulklubed,PW,2022-02-01 06:23:54,7.0419,134.2556,82.9,76,100,14.88
180,Norden,DE,2022-02-01 06:23:54,53.6,7.2,40.91,80,100,22.32
181,Impfondo,CG,2022-02-01 06:23:55,1.6381,18.0667,72.91,29,67,0.27
182,Loukhi,RU,2022-02-01 06:23:55,66.0764,33.0381,6.57,98,100,5.77
183,Ketchikan,US,2022-02-01 06:23:56,55.3422,-131.6461,34.27,93,100,0.0
184,Canavieiras,BR,2022-02-01 06:23:56,-15.675,-38.9472,75.94,90,6,4.7
185,Mutoko,ZW,2022-02-01 06:23:56,-17.397,32.2268,67.57,75,1,3.51
186,Port Shepstone,ZA,2022-02-01 06:23:57,-30.7414,30.455,76.44,83,100,10.4
187,Comodoro Rivadavia,AR,2022-02-01 06:24:57,-45.8667,-67.5,66.06,42,56,29.93
188,Tarakan,ID,2022-02-01 06:24:58,3.3,117.6333,90.9,55,40,8.05
189,Tuktoyaktuk,CA,2022-02-01 06:24:58,69.4541,-133.0374,-23.8,76,0,2.3
190,Iqaluit,CA,2022-02-01 06:24:58,63.7506,-68.5145,-29.31,73,20,2.3
191,Puerto Ayora,EC,2022-02-01 06:24:59,-0.7393,-90.3518,71.55,94,81,1.99
192,Bahia De Caraquez,EC,2022-02-01 06:24:59,-0.6,-80.4167,73.58,79,94,2.75
193,Kavieng,PG,2022-02-01 06:25:00,-2.5744,150.7967,77.2,92,97,11.21
194,Avarua,CK,2022-02-01 06:25:00,-21.2078,-159.775,78.85,83,100,9.22
195,La Ronge,CA,2022-02-01 06:25:00,55.1001,-105.2842,-9.15,70,20,12.66
196,Buraydah,SA,2022-02-01 06:25:01,26.326,43.975,54.05,34,0,13.56
197,Bismarck,US,2022-02-01 06:25:01,46.8083,-100.7837,19.24,70,100,31.07
198,Upernavik,GL,2022-02-01 06:25:02,72.7868,-56.1549,-23.4,99,98,5.26
199,Amboasary,MG,2022-02-01 06:25:03,-25.0333,46.3833,84.04,54,1,6.55
200,Tabas,IR,2022-02-01 06:25:03,33.5959,56.9244,48.42,27,100,4.61
201,Tasiilaq,GL,2022-02-01 06:25:04,65.6145,-37.6368,5.16,78,94,8.05
202,Namibe,AO,2022-02-01 06:25:04,-15.1961,12.1522,70.45,73,100,7.0
203,Camopi,GF,2022-02-01 06:25:05,3.1655,-52.3158,69.82,99,92,1.66
204,Kambove,CD,2022-02-01 06:25:05,-10.8764,26.5969,63.39,93,84,1.95
205,Trelew,AR,2022-02-01 06:25:06,-43.249,-65.3051,70.7,32,2,24.09
206,Poltavka,RU,2022-02-01 06:25:06,54.3663,71.7632,22.28,95,97,9.89
207,Arvika,SE,2022-02-01 06:25:07,59.6553,12.5852,23.61,90,100,4.34
208,Dikson,RU,2022-02-01 06:25:07,73.5069,80.5464,1.8,90,100,20.65
209,Port Elizabeth,ZA,2022-02-01 06:25:08,-33.918,25.5701,77.09,88,0,0.0
210,Baie-Saint-Paul,CA,2022-02-01 06:25:08,47.4411,-70.4986,-2.22,91,7,4.47
211,Sinop,TR,2022-02-01 06:25:08,41.7711,34.8709,25.23,87,87,12.62
212,North Bend,US,2022-02-01 06:25:09,43.4065,-124.2243,39.85,99,100,4.61
213,Weligama,LK,2022-02-01 06:25:09,5.9667,80.4167,86.29,58,39,3.2
214,Victoria,HK,2022-02-01 06:23:59,22.2855,114.1577,57.33,87,100,4.0
215,Avera,US,2022-02-01 06:25:10,33.194,-82.5271,42.67,57,10,4.79
216,Tyrma,RU,2022-02-01 06:25:11,50.0833,132.1667,6.21,81,97,4.03
217,Usinsk,RU,2022-02-01 06:25:11,65.9939,57.5281,-0.8,98,98,8.25
218,Glotovka,RU,2022-02-01 06:25:11,53.9491,46.7042,29.7,91,100,13.22
219,Clyde River,CA,2022-02-01 06:25:12,70.4692,-68.5914,-16.37,58,20,2.3
220,Manica,FR,2022-02-01 06:25:12,49.0,-1.1667,45.81,90,96,12.44
221,Mahebourg,MU,2022-02-01 06:22:39,-20.4081,57.7,85.24,74,75,18.41
222,Westport,US,2022-02-01 06:25:13,41.1415,-73.3579,22.8,70,0,3.0
223,Teeli,RU,2022-02-01 06:25:13,51.0333,90.2333,-4.97,90,100,2.68
224,Mehendiganj,BD,2022-02-01 06:25:14,22.8167,90.5333,75.4,46,4,6.17
225,Baoqing,CN,2022-02-01 06:25:14,46.3317,132.2111,15.39,76,21,7.61
226,Grand Gaube,MU,2022-02-01 06:25:15,-20.0064,57.6608,85.37,65,94,14.0
227,Lebu,CL,2022-02-01 06:25:15,-37.6167,-73.65,55.76,84,0,15.95
228,Lagos,NG,2022-02-01 06:21:03,6.5833,3.75,70.12,62,30,4.03
229,Longyearbyen,SJ,2022-02-01 06:25:16,78.2186,15.6401,13.84,67,20,5.75
230,Isangel,VU,2022-02-01 06:22:47,-19.55,169.2667,78.91,89,100,8.05
231,Mount Isa,AU,2022-02-01 06:25:16,-20.7333,139.5,94.77,38,40,14.97
232,Tambun,ID,2022-02-01 06:25:17,-6.2641,107.0712,93.04,58,40,6.91
233,El Progreso,HN,2022-02-01 06:25:17,15.4,-87.8,67.75,94,75,3.44
234,Watford,GB,2022-02-01 06:25:18,51.6553,-0.396,48.15,86,75,12.66
235,Bonavista,CA,2022-02-01 06:25:18,48.6499,-53.1147,30.11,64,52,18.61
